unit_name,unit_idnum,unit_id,action,channel_group,max_dissimilarity,max_depth_delta
604,19,98ab32a0-23b6-4a29-98ac-4e7faaeba64d,011-120321-3,1,0.05,100
653,20,ba80675e-d186-4bbd-a7bf-8ba7f8e4f101,011-120321-3,1,0.05,100
265,21,1db3b26e-3be0-4b7f-aee7-cb11b553bdaf,011-120321-6,1,0.05,100
618,21,1db3b26e-3be0-4b7f-aee7-cb11b553bdaf,011-120321-4,1,0.05,100
171,21,1db3b26e-3be0-4b7f-aee7-cb11b553bdaf,011-120321-5,1,0.05,100
646,22,4ce70fc0-f030-4cbd-b95d-f6bae2885155,011-120321-4,1,0.05,100
802,23,47c7133d-d1e8-44a7-bf57-3cd7c4ac6a33,011-120321-4,1,0.05,100
341,23,47c7133d-d1e8-44a7-bf57-3cd7c4ac6a33,011-120321-5,1,0.05,100
855,24,148eec6a-3979-47e1-9c5c-a9b57332f494,011-120321-4,1,0.05,100
411,24,148eec6a-3979-47e1-9c5c-a9b57332f494,011-120321-5,1,0.05,100
874,25,e38be8f4-7571-433d-9fa5-b29a1492bb29,011-120321-4,1,0.05,100
285,25,e38be8f4-7571-433d-9fa5-b29a1492bb29,011-120321-5,1,0.05,100
881,26,7014a29f-f77a-40dc-8f78-87cff7a2452b,011-120321-4,1,0.05,100
887,27,11ef570f-48f1-4230-934d-b8200a8e2629,011-120321-4,1,0.05,100
537,27,11ef570f-48f1-4230-934d-b8200a8e2629,011-120321-5,1,0.05,100
374,27,11ef570f-48f1-4230-934d-b8200a8e2629,011-120321-6,1,0.05,100
901,28,c6653965-6ef5-4f15-a0ed-b5a01d1cfd9c,011-120321-4,1,0.05,100
296,29,79d91225-d455-470c-8be7-34ad2ae1be95,011-120321-6,1,0.05,100
926,29,79d91225-d455-470c-8be7-34ad2ae1be95,011-120321-4,1,0.05,100
928,30,267a6349-c0f4-45c8-beb0-48cb1a907c25,011-120321-4,1,0.05,100
942,31,7eafc4d2-50ff-44dd-bc9f-5d053e6ffe95,011-120321-4,1,0.05,100
944,32,1aebb77e-6068-497f-aa59-865579341619,011-120321-4,1,0.05,100
948,33,874e0308-eed6-4f9e-b784-17a44fcc0f39,011-120321-4,1,0.05,100
960,34,dac6dd6b-a8d3-4155-8a0f-5f5df5881ea9,011-120321-4,1,0.05,100
964,35,4ca576d6-015d-40a4-9fe8-6746b3d8b68c,011-120321-4,1,0.05,100
565,35,4ca576d6-015d-40a4-9fe8-6746b3d8b68c,011-120321-5,1,0.05,100
504,35,4ca576d6-015d-40a4-9fe8-6746b3d8b68c,011-120321-6,1,0.05,100
968,36,cbeeddd4-cb9b-40e7-b3c4-14d99e45ec15,011-120321-4,1,0.05,100
179,37,23b83ac0-5d05-4d51-840f-b1f39eb73a0d,011-120321-5,1,0.05,100
323,38,7ece5151-38fd-4485-b31c-f39127f57aff,011-120321-5,1,0.05,100
337,39,db335d47-8829-40ee-806c-38a66fc9aed6,011-120321-5,1,0.05,100
355,40,692ddb87-4c69-4ac2-9204-a55828418ac7,011-120321-5,1,0.05,100
443,41,f7e4130b-383a-49c6-ad40-f90c6b79e3ac,011-120321-6,1,0.05,100
369,41,f7e4130b-383a-49c6-ad40-f90c6b79e3ac,011-120321-5,1,0.05,100
427,42,bd2c85a5-011a-4ec2-b3d9-93ad4e263658,011-120321-5,1,0.05,100
382,43,c918e682-9264-4f71-9ef0-94f7114fc9c8,011-120321-6,1,0.05,100
444,43,c918e682-9264-4f71-9ef0-94f7114fc9c8,011-120321-5,1,0.05,100
543,44,7871d0dc-15f1-45a5-9e47-3fab6f673f80,011-120321-5,1,0.05,100
553,45,ec2f54bf-9f0a-4987-99f1-554abd316cb6,011-120321-5,1,0.05,100
555,46,809db80b-741f-4951-b3d1-574b0c174ccf,011-120321-5,1,0.05,100
216,47,cfbeb1cb-c8e3-4b85-81d6-b0140003b0c5,011-120321-6,1,0.05,100
266,48,9e4aa2bf-deb8-4f0a-a561-def5ce879e14,011-120321-6,1,0.05,100
418,49,5fd0d8d9-6dfb-49d6-b9f8-e74a5d2d8834,011-120321-6,1,0.05,100
422,50,0d3b5fab-74e9-4e8c-a847-14ca3815bad5,011-120321-6,1,0.05,100
457,51,d5f36e78-ed3e-41eb-960c-bbdab23566e8,011-120321-6,1,0.05,100
487,52,50e56835-a6d7-4b21-8e44-58dccf6e99a6,011-120321-6,1,0.05,100
505,53,567fa437-9c5a-473c-b5e6-7faa0b735c6b,011-120321-6,1,0.05,100
577,54,f34fef4f-f314-42fd-a5f6-d74ea3759e9b,011-120321-3,3,0.05,100
870,54,f34fef4f-f314-42fd-a5f6-d74ea3759e9b,011-120321-4,3,0.05,100
151,54,f34fef4f-f314-42fd-a5f6-d74ea3759e9b,011-120321-2,3,0.05,100
254,54,f34fef4f-f314-42fd-a5f6-d74ea3759e9b,011-120321-6,3,0.05,100
441,54,f34fef4f-f314-42fd-a5f6-d74ea3759e9b,011-120321-5,3,0.05,100
